PG,Lonzo Ball (16336854),Lonzo Ball,16336854,PG/G/UTIL,6000,MEM@NO 02/06/2021 09:00PM ET,NO,29.32
SG/SF,Joe Harris (16336861),Joe Harris,16336861,SG/SF/F/G/UTIL,6000,BKN@PHI 02/06/2021 08:00PM ET,BKN,25.83
PF/C,Brandon Clarke (16336873),Brandon Clarke,16336873,PF/C/F/UTIL,5900,MEM@NO 02/06/2021 09:00PM ET,MEM,26.96
SG/SF,Hamidou Diallo (16336866),Hamidou Diallo,16336866,SG/SF/F/G/UTIL,5900,MIN@OKC 02/06/2021 08:00PM ET,OKC,23.38
C,Jakob Poeltl (16336871),Jakob Poeltl,16336871,C/UTIL,5800,SA@HOU 02/06/2021 08:00PM ET,SA,19.76
PG/SG,Eric Gordon (16336877),Eric Gordon,16336877,PG/SG/G/UTIL,5800,SA@HOU 02/06/2021 08:00PM ET,HOU,26.72
SF/PF,Keldon Johnson (16336881),Keldon Johnson,16336881,SF/PF/F/UTIL,5800,SA@HOU 02/06/2021 08:00PM ET,SA,30.02
SG/SF,Tim Hardaway Jr. (16336895),Tim Hardaway Jr.,16336895,SG/SF/F/G/UTIL,5700,GS@DAL 02/06/2021 08:30PM ET,DAL,27.36
C,Mason Plumlee (16336890),Mason Plumlee,16336890,C/UTIL,5700,DET@LAL 02/06/2021 10:00PM ET,DET,26.84
PF,Anthony Edwards (16336892),Anthony Edwards,16336892,PF/F/UTIL,5700,MIN@OKC 02/06/2021 08:00PM ET,MIN,22.16
PG,Cole Anthony (16336887),Cole Anthony,16336887,PG/G/UTIL,5700,CHI@ORL 02/06/2021 07:00PM ET,ORL,24.39
PF/C,Bobby Portis (16336900),Bobby Portis,16336900,PF/C/F/UTIL,5600,MIL@CLE 02/06/2021 08:00PM ET,MIL,25.77
PG/SG,Dennis Schroder (16336904),Dennis Schroder,16336904,PG/SG/G/UTIL,5600,DET@LAL 02/06/2021 10:00PM ET,LAL,26.28
PG,Delon Wright (16336913),Delon Wright,16336913,PG/G/UTIL,5500,DET@LAL 02/06/2021 10:00PM ET,DET,25.19
SG,Dillon Brooks (16336910),Dillon Brooks,16336910,SG/G/UTIL,5500,MEM@NO 02/06/2021 09:00PM ET,MEM,27.18
SF/PF,Kyle Anderson (16336916),Kyle Anderson,16336916,SF/PF/F/UTIL,5500,MEM@NO 02/06/2021 09:00PM ET,MEM,28.98
C,Wendell Carter Jr. (16336908),Wendell Carter Jr.,16336908,C/UTIL,5500,CHI@ORL 02/06/2021 07:00PM ET,CHI,28.61
PG/SG,Kevin Huerter (16336920),Kevin Huerter,16336920,PG/SG/G/UTIL,5400,TOR@ATL 02/06/2021 08:00PM ET,ATL,25.38
PF/C,LaMarcus Aldridge (16336924),LaMarcus Aldridge,16336924,PF/C/F/UTIL,5400,SA@HOU 02/06/2021 08:00PM ET,SA,25.31
C,Montrezl Harrell (16336932),Montrezl Harrell,16336932,C/UTIL,5300,DET@LAL 02/06/2021 10:00PM ET,LAL,24.75
SF/PF,Kyle Kuzma (16336934),Kyle Kuzma,16336934,SF/PF/F/UTIL,5300,DET@LAL 02/06/2021 10:00PM ET,LAL,20.94
PG/SG,Theo Maledon (16336928),Theo Maledon,16336928,PG/SG/G/UTIL,5300,MIN@OKC 02/06/2021 08:00PM ET,OKC,16.52
SG/SF,Josh Jackson (16336942),Josh Jackson,16336942,SG/SF/F/G/UTIL,5200,DET@LAL 02/06/2021 10:00PM ET,DET,21.75
PG,Ricky Rubio (16336947),Ricky Rubio,16336947,PG/G/UTIL,5200,MIN@OKC 02/06/2021 08:00PM ET,MIN,20.62
PF/C,Jeff Green (16336938),Jeff Green,16336938,PF/C/F/UTIL,5200,BKN@PHI 02/06/2021 08:00PM ET,BKN,18.14
SG/SF,Cam Reddish (16336957),Cam Reddish,16336957,SG/SF/F/G/UTIL,5100,TOR@ATL 02/06/2021 08:00PM ET,ATL,21.36
PF/C,Blake Griffin (16336950),Blake Griffin,16336950,PF/C/F/UTIL,5100,DET@LAL 02/06/2021 10:00PM ET,DET,26.32
PG,Derrick Rose (16336954),Derrick Rose,16336954,PG/G/UTIL,5100,DET@LAL 02/06/2021 10:00PM ET,DET,25.32
C,Brook Lopez (16336962),Brook Lopez,16336962,C/UTIL,5000,MIL@CLE 02/06/2021 08:00PM ET,MIL,22.53
PG/SG,Donte DiVincenzo (16336968),Donte DiVincenzo,16336968,PG/SG/G/UTIL,5000,MIL@CLE 02/06/2021 08:00PM ET,MIL,22.32
SF/PF,Jae'Sean Tate (16336964),Jae'Sean Tate,16336964,SF/PF/F/UTIL,5000,SA@HOU 02/06/2021 08:00PM ET,HOU,20.20
SG/SF,Josh Richardson (16336981),Josh Richardson,16336981,SG/SF/F/G/UTIL,4900,GS@DAL 02/06/2021 08:30PM ET,DAL,21.96
PF/C,Xavier Tillman (16336977),Xavier Tillman,16336977,PF/C/F/UTIL,4900,MEM@NO 02/06/2021 09:00PM ET,MEM,21.58
PG,Tyus Jones (16336986),Tyus Jones,16336986,PG/G/UTIL,4900,MEM@NO 02/06/2021 09:00PM ET,MEM,24.79
SG/SF,Terrence Ross (16336972),Terrence Ross,16336972,SG/SF/F/G/UTIL,4900,CHI@ORL 02/06/2021 07:00PM ET,ORL,23.06
PG/SG,De'Anthony Melton (16336993),De'Anthony Melton,16336993,PG/SG/G/UTIL,4800,MEM@NO 02/06/2021 09:00PM ET,MEM,23.11
